公司名称,职位名称,工作年限,教育程度,城市,薪资,福利,经度,纬度,公司规模,融资,地铁线
北京流体网络科技有限公司,python开发工程师（广告系统）,3-5年,不限,北京,20k-40k,福利待遇优厚 发展空间大 周末双休,116.417227,40.032034,50-150人,B轮,5号线_北苑路北;5号线_立水桥南
颐邦（北京）医院管理有限公司,Python研发工程师,3-5年,本科,北京,13k-18k,全额五险一金,116.322239,39.992047,少于15人,天使轮,4号线大兴线_中关村;4号线大兴线_北京大学东门;4号线大兴线_圆明园;13号线_五道口
爱笔（北京）智能科技有限公司,Python开发工程师,3-5年,本科,北京,20k-40k,"初创公司,技术驱动",116.197522,40.068612,150-500人,A轮,16号线_稻香湖路
北京升鑫网络科技有限公司,python开发工程师,3-5年,本科,北京,20k-40k,五险一金 不打卡 餐补 弹性工作,116.311429,40.040443,150-500人,B轮,13号线_上地;13号线_西二旗;昌平线_西二旗
北京启明合心科技有限公司,Python开发工程师,1-3年,本科,北京,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐",116.344462,39.976877,50-150人,B轮,10号线_知春里;10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路
北京智胜新格科技有限公司,Python开发,1-3年,本科,北京,15k-30k,"六险一金,硅谷式办公,绩效奖金,按摩椅",116.338929,39.99939,150-500人,不需要融资,13号线_五道口;15号线_六道口;15号线_清华东路西口
优维科技（深圳）有限公司,python开发工程师,1-3年,本科,北京,11k-20k,高速发展 五险一金 股权激励 腾讯背景,116.465167,40.021153,50-150人,B轮,14号线东段_来广营;14号线东段_东湖渠
北京摩尔宝宝网络科技有限公司,python开发工程师,1-3年,本科,北京,15k-25k,"大牛带队,注重成长,季度奖金,免费午餐",116.477197,39.95616,15-50人,A轮,14号线东段_东风北桥;14号线东段_枣营
云孚科技（北京）有限公司,python研发工程师,不限,本科,北京,8k-16k,"人工智能,成长快,回报快,B2B",116.305895,40.047268,15-50人,不需要融资,13号线_西二旗;昌平线_西二旗
北京博派通达科技有限公司,Python开发工程师（爬虫）,1-3年,大专,北京,12k-20k,"地铁周边,超多大牛,免费茶歇,弹性工作",116.413801,39.977227,50-150人,A轮,5号线_和平西桥;5号线_惠新西街南口;5号线_惠新西街北口;10号线_安贞门;10号线_惠新西街南口
上海淇毓信息科技有限公司,python开发工程师,5-10年,本科,北京,20k-30k,上市公司，发展前景好,116.490707,39.982794,500-2000人,上市公司,14号线东段_望京南;14号线东段_将台
达而观信息科技（上海）有限公司,python开发工程师,1-3年,本科,北京,10k-18k,AI准独角兽 技术氛围佳 前沿产品,116.344462,39.976877,150-500人,B轮,10号线_知春里;10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路
维恩贝特科技有限公司,Python工程师,不限,本科,北京,8k-16k,六险一金 绩效奖金 定期体检,116.354477,39.914086,500-2000人,上市公司,1号线_南礼士路;1号线_复兴门;2号线_复兴门;2号线_阜成门
北京势在必行网络科技有限公司,python开发工程师,3-5年,本科,北京,18k-35k,"年底双薪,午餐补助,休闲餐点,弹性工作",116.310139,39.983446,50-150人,不需要融资,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄
北京逍遥志科技有限公司,Python研发工程师,3-5年,本科,北京,18k-25k,牛人多，氛围好，发展快,116.43661,39.916105,15-50人,A轮,1号线_建国门;1号线_永安里;2号线_朝阳门;2号线_建国门;2号线_北京站;6号线_东大桥;6号线_朝阳门
北京金堤科技有限公司,python开发工程师,不限,本科,北京,15k-25k,公司业务好，技术氛围好,116.331999,39.977084,150-500人,A轮,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_知春路
